slug,ArticleIndex,Name,title,author,date,Published,Attachments,status,Tags,secret,URL,Created,Updated,hero,Labels
ffa42356-f993-4a10-89cb-ea335a2640e3,16,18,Handling variable Dt for the game,Kailash Vetal,2016-11-12,"Nov 12, 2016",,published,game development,false," http://gafferongames.com/game-physics/fix-your-timestep/ ","Mar 04, 2020 7:29 PM","Apr 11, 2020 3:41 AM",Blog/alex-holyoake-Fkydl-OKd0c-unsplash.jpg,
ae80bd04-9ce1-4d57-b99f-4bb6feaa1c9d,17,19,Avoiding Shader Conditionals,Kailash Vetal,2017-07-12,"Jul 12, 2017",,published,empty,false,http://theorangeduck.com/page/avoiding-shader-conditionals,"Mar 04, 2020 7:29 PM","Apr 11, 2020 3:41 AM",Blog/Backchannel-Lena-Soderberg-FA.jpg,
9bce4d71-de48-42f4-977f-da2b9007e345,19,21,Unity - make your lists functional with ReorderableList,Kailash Vetal,2016-10-24,"Oct 24, 2016",,published,"kv47.in, unity3d",false,https://va.lent.in/unity-make-your-lists-functional-with-reorderablelist/,"Mar 04, 2020 7:28 PM","Apr 11, 2020 3:40 AM",Blog/unity2.png,
4e7a5f84-ced5-4224-922c-1a4a00c30f0a,23,25,What Is Tech Debt,Kailash Vetal,2019-12-25,"Dec 25, 2019",,published,"project management, software development",false,https://dzone.com/articles/what-is-tech-debt-and-how-to-explain-it-to-non-tec,"Mar 05, 2020 6:08 PM","Apr 11, 2020 3:40 AM",Blog/helloquence-5fNmWej4tAA-unsplash.jpg,
5c2bf1cc-356b-4caf-8456-8a05cc9ebaab,24,26,Writing Good Commit Messages A Practical Guide,Kailash Vetal,2019-11-28,"Nov 28, 2019",,published,"git, software development",false,https://www.freecodecamp.org/news/writing-good-commit-messages-a-practical-guide/,"Nov 29, 2019 1:44 AM","Apr 11, 2020 3:40 AM",Blog/luke-chesser-LG8ToawE8WQ-unsplash.jpg,
16f40295-4cf4-40c7-8a3e-9ff3a1ba5114,25,28,Semantic Versioning 2.0.0 | Semantic Versioning,Kailash Vetal,2020-03-09,"Mar 09, 2020",,published,"git, software development, tools",false,https://semver.org/spec/v2.0.0.html,"Nov 25, 2019 3:09 PM","Apr 11, 2020 3:40 AM",Blog/arvin-mantilla-YCIqvvIn55M-unsplash.jpg,
eb93c079-69d3-4afc-b4fa-ab0529f4591a,26,29,Good Developers vs Bad Developers,Kailash Vetal,2020-03-08,"Mar 08, 2020",,published,software development,false,https://medium.com/@CodementorIO/good-developers-vs-bad-developers-fe9d2d6b582b,"Mar 10, 2020 9:11 PM","Apr 11, 2020 3:39 AM",Blog/0_H918SbNILoTE9IlO.jpg,
3f61e803-1716-4dca-8c3b-26836015a8c5,27,30,"If You’re Using “#if DEBUG”, You’re Doing it Wrong",Kailash Vetal,2019-09-16,"Sep 16, 2019",,published,"c#, software development",false,https://blogs.msmvps.com/peterritchie/2011/11/24/if-you-re-using-if-debug-you-re-doing-it-wrong/,"Sep 16, 2019 10:40 AM","Apr 11, 2020 3:39 AM",Blog/max-nelson-taiuG8CPKAQ-unsplash.jpg,"evernote, postach.io"
,,novela-md-template,template,Kailash Vetal,2020-03-01,"Mar 01, 2020",,draft,empty,true,,"Apr 10, 2020 9:44 PM","Apr 10, 2020 9:44 PM",,
5f8c06a0-8a83-45a0-9a4f-12da7df04230,10,10,Unity Stipple Transparency Shader,Kailash Vetal,2020-03-05,"Mar 05, 2020",,publish-ready,,false,https://ocias.com/blog/unity-stipple-transparency-shader/,"Apr 10, 2020 10:25 PM","Apr 11, 2020 3:42 AM",Blog/lemonTransparency5-825x510.png,"Blog, notion"
